<color=#A133FF><b>Cliente2: </b></color>Hola buenas tardes
<color=#33FF33><b>Cliente3: </b></color>hola igualmente
<color=#3383FF><b>Cliente1: </b></color>Encatado
<color=#33FF33><b>Cliente3: </b></color>a
<color=#33FF33><b>Cliente3: </b></color>s
<color=#33FF33><b>Cliente3: </b></color>s
<color=#33FF33><b>Cliente3: </b></color>s
<color=#33FF33><b>Cliente3: </b></color>s
<color=#33FF33><b>Cliente3: </b></color>s
<color=#33FF33><b>Cliente3: </b></color>s
<color=#33FF33><b>Cliente3: </b></color>s
<color=#33FF33><b>Cliente3: </b></color>s
<color=#33FF33><b>Cliente3: </b></color>s
<color=#33FF33><b>Cliente3: </b></color>s
<color=#33FF33><b>Cliente3: </b></color>s
<color=#33FF33><b>Cliente3: </b></color>s
<color=#33FF33><b>Cliente3: </b></color>s
<color=#33FF33><b>Cliente3: </b></color>s
<color=#33FF33><b>Cliente3: </b></color>s
<color=#33FF33><b>Cliente3: </b></color>s
